5.0.0|1000|10||
orderId|currencyCode|txnAmt|accType|accNo|customerNm|bizType|certifTp|certifId|phoneNo|postscript
0823000300003370|156|100|01|6221558812340000|互联网|000401|01|341126197709218366|13552535506|样例展示
0823000300003371|156|100|01|6221558812340000|互联网|000401|01|341126197709218366|13552535506|样例展示
0823000300003372|156|100|01|6221558812340000|互联网|000401|01|341126197709218366|13552535506|样例展示
0823000300003373|156|100|01|6221558812340000|互联网|000401|01|341126197709218366|13552535506|样例展示
0823000300003374|156|100|01|6221558812340000|互联网|000401|01|341126197709218366|13552535506|样例展示
0823000300003375|156|100|01|6221558812340000|互联网|000401|01|341126197709218366|13552535506|样例展示
0823000300003376|156|100|01|6221558812340000|互联网|000401|01|341126197709218366|13552535506|样例展示
0823000300003377|156|100|01|6221558812340000|互联网|000401|01|341126197709218366|13552535506|样例展示
0823000300003378|156|100|01|6221558812340000|互联网|000401|01|341126197709218366|13552535506|样例展示
0823000300003379|156|100|01|6221558812340000|互联网|000401|01|341126197709218366|13552535506|样例展示
